source,target,osmid,lanes,name,highway,oneway,reversed,length,highway,lanes,name,junction,geometry,access,service,landuse,tunnel,width
75618029,6646826309,9965723,2,Phố Tràng Tiền,secondary,False,True,15.408,secondary,2,Phố Tràng Tiền,,,,,,,
75618029,8184202960,605230289,3,Phố Ngô Quyền,tertiary,False,False,16.703,tertiary,3,Phố Ngô Quyền,,,,,,,
75618029,6646826310,1223365201,3,Phố Ngô Quyền,tertiary,False,True,15.069,tertiary,3,Phố Ngô Quyền,,,,,,,
75618029,6646826311,1223365293,2,Phố Tràng Tiền,secondary,False,False,15.221,secondary,2,Phố Tràng Tiền,,,,,,,
81817652,6648055354,965634323,2,,secondary,False,True,5.328,secondary,2,,roundabout,,,,,,
81817652,8324080738,29046480,,Phố Cổ Tân,residential,False,True,58.318999999999996,residential,,Phố Cổ Tân,,"LINESTRING (105.8571509 21.0244868, 105.8573127 21.0246469, 105.8575215 21.0248807)",,,,,
81817652,4902374737,943964872,2,,secondary,False,False,16.168,secondary,2,,roundabout,"LINESTRING (105.8571509 21.0244868, 105.857099 21.0244863, 105.8570496 21.0244713, 105.8570073 21.0244432)",,,,,
84799736,10142638810,211898685,1,,primary_link,False,False,17.509,primary_link,1,,,,,,,,
84799736,84799740,838062935,2,Đường Trần Khánh Dư,primary,False,False,323.005,primary,2,Đường Trần Khánh Dư,,,,,,,
84799736,10142638734,838062935,2,Đường Trần Khánh Dư,primary,False,True,102.224,primary,2,Đường Trần Khánh Dư,,"LINESTRING (105.8617074 21.0212542, 105.8617975 21.020874, 105.8618314 21.0206772, 105.8618741 21.020349)",,,,,
84799740,438042805,838062935,2,Đường Trần Khánh Dư,primary,False,False,47.981,primary,2,Đường Trần Khánh Dư,,,,,,,
84799740,84799736,838062935,2,Đường Trần Khánh Dư,primary,False,True,323.005,primary,2,Đường Trần Khánh Dư,,,,,,,
84799740,10142638778,211897425,1,,primary_link,False,True,77.94800000000001,primary_link,1,,,"LINESTRING (105.8607784 21.0240266, 105.8606413 21.0240077, 105.860606 21.0240044, 105.8605743 21.0240187, 105.8605482 21.0240663, 105.8604405 21.0243493, 105.8604178 21.024401, 105.860348 21.0244715)",,,,,
84799740,309653586,702910582,,Phố Cầu Đất,residential,False,True,24.767000000000003,residential,,Phố Cầu Đất,,"LINESTRING (105.8607784 21.0240266, 105.8607522 21.0241183, 105.8607704 21.024245)",,,,,
84799897,7821910479,838062938,4,Đường Trần Khánh Dư,primary,False,True,51.4,primary,4,Đường Trần Khánh Dư,,,,,,,
84799897,10142638810,211898685,1,,primary_link,False,True,139.42899999999997,primary_link,1,,,"LINESTRING (105.8613706 21.02144, 105.861408 21.0215742, 105.8613939 21.0216588, 105.8612856 21.0219473, 105.8612864 21.0219595, 105.8612901 21.0219677, 105.8612958 21.0219749, 105.8613059 21.0219809, 105.8613196 21.0219821, 105.8613334 21.0219783, 105.8613424 21.0219708, 105.8613483 21.0219604, 105.8615324 21.0214691, 105.8615826 21.0213957, 105.8616001 21.0213757)",,,,,
84799897,10142638747,838062938,4,Đường Trần Khánh Dư,primary,False,False,113.321,primary,4,Đường Trần Khánh Dư,,"LINESTRING (105.8613706 21.02144, 105.8614352 21.0212496, 105.8616089 21.0204464)",,,,,
98009137,8176640954,399561785,2,Phố Hai Bà Trưng,tertiary,False,True,157.638,tertiary,2,Phố Hai Bà Trưng,,"LINESTRING (105.8513125 21.0246815, 105.8514795 21.0246329, 105.8527579 21.0242462)",,,,,
98010040,8178544891,764854185,3,Phố Hàng Bài,secondary,False,False,15.346,secondary,3,Phố Hàng Bài,,,,,,,
98010040,6689685037,1223385256,2,Phố Hai Bà Trưng,tertiary,False,True,16.391,tertiary,2,Phố Hai Bà Trưng,,,,,,,
98010040,6689685038,1223385257,3,Phố Hàng Bài,secondary,False,True,15.857,secondary,3,Phố Hàng Bài,,,,,,,
98010040,8176640954,399561785,2,Phố Hai Bà Trưng,tertiary,False,False,17.654,tertiary,2,Phố Hai Bà Trưng,,"LINESTRING (105.8529221 21.0242048, 105.8528234 21.0242297, 105.8527579 21.0242462)",,,,,
98010042,6684786556,605230289,3,Phố Ngô Quyền,tertiary,False,True,12.505,tertiary,3,Phố Ngô Quyền,,,,,,,
98010042,6684786558,769798547,2,Phố Hai Bà Trưng,tertiary,False,True,18.56,tertiary,2,Phố Hai Bà Trưng,,,,,,,
98010042,8184202934,769798548,3,Phố Ngô Quyền,tertiary,False,False,21.302,tertiary,3,Phố Ngô Quyền,,,,,,,
98010042,11379754649,1223385256,2,Phố Hai Bà Trưng,tertiary,False,False,20.727,tertiary,2,Phố Hai Bà Trưng,,,,,,,
98010334,6689686493,769798548,3,Phố Ngô Quyền,tertiary,False,True,16.029,tertiary,3,Phố Ngô Quyền,,,,,,,
98010334,8184202898,769798549,3,Phố Ngô Quyền,tertiary,False,False,21.571,tertiary,3,Phố Ngô Quyền,,,,,,,
98010334,6689686492,953227390,2,Phố Lý Thường Kiệt,tertiary,False,False,16.591,tertiary,2,Phố Lý Thường Kiệt,,,,,,,
98010334,6689686491,953227392,2,Phố Lý Thường Kiệt,tertiary,False,True,15.53,tertiary,2,Phố Lý Thường Kiệt,,,,,,,
98010335,6662289398,769798549,3,Phố Ngô Quyền,tertiary,False,True,12.915,tertiary,3,Phố Ngô Quyền,,,,,,,
98010335,6662289397,838508585,2,Phố Trần Hưng Đạo,secondary,False,True,16.581,secondary,2,Phố Trần Hưng Đạo,,,,,,,
98010335,8184202876,943964887,3,Phố Ngô Quyền,tertiary,False,False,24.957,tertiary,3,Phố Ngô Quyền,,,,,,,
98010335,6662289399,943964888,2,Phố Trần Hưng Đạo,secondary,False,False,16.3,secondary,2,Phố Trần Hưng Đạo,,,,,,,
98010336,6689473460,28103280,2,Phố Hàm Long,residential,False,False,17.538,residential,2,Phố Hàm Long,,,,,,,
98010336,6685594998,28103280,2,Phố Hàm Long,residential,False,True,11.668,residential,2,Phố Hàm Long,,,,,,,
98010336,8184202872,711372254,2,Phố Ngô Thì Nhậm,tertiary,False,False,7.468,tertiary,2,Phố Ngô Thì Nhậm,,,,,,,
98010336,6689473461,943964887,3,Phố Ngô Quyền,tertiary,False,True,11.118,tertiary,3,Phố Ngô Quyền,,,,,,,
98010926,6662355785,838508585,2,Phố Trần Hưng Đạo,secondary,False,False,19.067,secondary,2,Phố Trần Hưng Đạo,,,,,,,
98010926,6662352883,943964869,2,Phố Trần Hưng Đạo,secondary,False,True,18.291,secondary,2,Phố Trần Hưng Đạo,,,,,,,
98010926,6662352884,943964870,2,Phố Phan Chu Trinh,tertiary,False,True,8.339,tertiary,2,Phố Phan Chu Trinh,,,,,,,
98010926,6662352882,953227391,2,Phố Phan Chu Trinh,tertiary,False,False,19.257,tertiary,2,Phố Phan Chu Trinh,,,,,,,
98012399,6662352881,11550307,2,Phố Phan Chu Trinh,tertiary,False,False,11.191,tertiary,2,Phố Phan Chu Trinh,,,,,,,
98012399,6662352879,601595920,2,Phố Lý Thường Kiệt,tertiary,False,True,16.807,tertiary,2,Phố Lý Thường Kiệt,,,,,,,
98012399,6662352880,953227391,2,Phố Phan Chu Trinh,tertiary,False,True,18.905,tertiary,2,Phố Phan Chu Trinh,,,,,,,
98012399,6662352878,953227392,2,Phố Lý Thường Kiệt,tertiary,False,False,14.174,tertiary,2,Phố Lý Thường Kiệt,,,,,,,
98014765,4023430929,943964888,2,Phố Trần Hưng Đạo,secondary,False,True,98.869,secondary,2,Phố Trần Hưng Đạo,,"LINESTRING (105.8522331 21.0209829, 105.8523593 21.0209479, 105.8531422 21.0207175)",,,,,
102985443,10586767714,11550267,,Phố Lý Đạo Thành,residential,False,False,136.895,residential,,Phố Lý Đạo Thành,,"LINESTRING (105.8580356 21.0254689, 105.8579613 21.0254503, 105.8567636 21.0251434)",,,,,
102985443,6647207214,28924658,,Phố Tông Đản,residential,False,False,77.33500000000001,residential,,Phố Tông Đản,,"LINESTRING (105.8580356 21.0254689, 105.8581113 21.025227, 105.8582373 21.0247994)",,,,,
102985443,271745504,28924658,,Phố Tông Đản,residential,False,True,416.13399999999996,residential,,Phố Tông Đản,,"LINESTRING (105.8580356 21.0254689, 105.857843 21.0260697, 105.8578156 21.0261782, 105.8577944 21.0262592, 105.8576708 21.0266621, 105.8576498 21.0267295, 105.8575455 21.0270604, 105.8573671 21.0276107, 105.8573443 21.0276963, 105.8573207 21.0277783, 105.856958 21.0289747, 105.8569206 21.0290628)",,,,,
102985443,8324080738,29046480,,Phố Cổ Tân,residential,False,False,84.80199999999999,residential,,Phố Cổ Tân,,"LINESTRING (105.8580356 21.0254689, 105.8579845 21.0253699, 105.8575215 21.0248807)",,,,,
102985688,6662487546,11550307,2,Phố Phan Chu Trinh,tertiary,False,True,14.447,tertiary,2,Phố Phan Chu Trinh,,,,,,,
102985688,6662487549,707060209,2,Phố Hai Bà Trưng,tertiary,False,False,16.05,tertiary,2,Phố Hai Bà Trưng,,,,,,,
102985688,6662487548,954856201,2,Phố Phan Chu Trinh,tertiary,False,False,15.763,tertiary,2,Phố Phan Chu Trinh,,,,,,,
102985688,6662487547,954856202,2,Phố Hai Bà Trưng,tertiary,False,True,17.678,tertiary,2,Phố Hai Bà Trưng,,,,,,,
102986558,6685594995,11550985,2,Phố Hàn Thuyên,tertiary,False,True,23.016,tertiary,2,Phố Hàn Thuyên,,,,,,,
102986558,10130015979,28103280,2,Phố Hàm Long,residential,False,False,19.763,residential,2,Phố Hàm Long,,,,,,,
102986558,10130015981,457131694,2,Phố Lê Văn Hưu,tertiary,False,True,20.045,tertiary,2,Phố Lê Văn Hưu,,,,,,,
102986558,6685594997,711138757,2,Phố Lò Đúc,tertiary,False,False,19.103,tertiary,2,Phố Lò Đúc,,,,,,,
102986558,6685594996,711138761,2,Phố Phan Chu Trinh,tertiary,False,False,13.257,tertiary,2,Phố Phan Chu Trinh,,,,,,,
102987953,10142638679,211930307,,Phố Đinh Công Tráng,residential,False,True,7.502,residential,,Phố Đinh Công Tráng,,,,,,,
102987953,102987955,686156629,2,Đường Trần Khánh Dư,secondary,False,False,76.518,secondary,2,Đường Trần Khánh Dư,,,,,,,
102987953,10142638686,711132577,2,Đường Trần Khánh Dư,secondary,False,True,2.21,secondary,2,Đường Trần Khánh Dư,,,,,,,
102987955,102987956,686156629,2,Đường Trần Khánh Dư,secondary,False,False,25.057,secondary,2,Đường Trần Khánh Dư,,,,,,,
102987955,102987953,686156629,2,Đường Trần Khánh Dư,secondary,False,True,76.518,secondary,2,Đường Trần Khánh Dư,,,,,,,
102987956,102987955,686156629,2,Đường Trần Khánh Dư,secondary,False,True,25.057,secondary,2,Đường Trần Khánh Dư,,,,,,,
102987956,102987957,813360486,2,Phố Trần Hưng Đạo,secondary,False,False,10.704,secondary,2,Phố Trần Hưng Đạo,,,,,,,
102987956,6685527205,600115734,2,Đường Trần Khánh Dư,secondary,False,False,16.358,secondary,2,Đường Trần Khánh Dư,,"LINESTRING (105.8618095 21.0185353, 105.8618114 21.0184857, 105.861809 21.01844, 105.8618107 21.0183883)",,,,,
102987957,442601282,813360486,2,Phố Trần Hưng Đạo,secondary,False,False,45.258,secondary,2,Phố Trần Hưng Đạo,,,,,,,
102987957,102987956,813360486,2,Phố Trần Hưng Đạo,secondary,False,True,10.704,secondary,2,Phố Trần Hưng Đạo,,,,,,,
102987961,6689572373,59150901,4,Phố Trần Thánh Tông,tertiary,False,True,26.838,tertiary,4,Phố Trần Thánh Tông,,,,,,,
102987961,6352370306,832454962,2,Phố Lê Thánh Tông,tertiary,False,True,28.907,tertiary,2,Phố Lê Thánh Tông,,,,,,,
102987961,6689572375,943964869,2,Phố Trần Hưng Đạo,secondary,False,False,16.462,secondary,2,Phố Trần Hưng Đạo,,,,,,,
102987961,6689572371,1226365019,2,Phố Trần Hưng Đạo,secondary,False,True,24.8,secondary,2,Phố Trần Hưng Đạo,,,,,,,
102987962,10142638747,838062938,4,Đường Trần Khánh Dư,primary,False,True,7.453,primary,4,Đường Trần Khánh Dư,,,,,,,
102987962,5707599790,11005894,1,Đường Trần Khánh Dư,secondary,False,False,89.032,secondary,1,Đường Trần Khánh Dư,,"LINESTRING (105.8616231 21.0203807, 105.8616141 21.0200667, 105.8615967 21.0195804)",,,,,
102987962,10142638729,711134054,2,Đường Trần Khánh Dư,primary,False,False,56.277,primary,2,Đường Trần Khánh Dư,,"LINESTRING (105.8616231 21.0203807, 105.861679 21.0202364, 105.8617311 21.0198871)",,,,,
102989115,6689625513,601595920,2,Phố Lý Thường Kiệt,tertiary,False,False,12.515,tertiary,2,Phố Lý Thường Kiệt,,,,,,,
102989115,6689625514,769787747,2,Phố Lê Thánh Tông,tertiary,False,False,15.35,tertiary,2,Phố Lê Thánh Tông,,,,,,,
102989115,9966134298,964674136,2,Phố Lê Thánh Tông,tertiary,False,True,4.24,tertiary,2,Phố Lê Thánh Tông,,,,,,,
102989116,6644534246,28924660,,Phố Đặng Thái Thân,residential,False,False,15.712,residential,,Phố Đặng Thái Thân,,,,,,,
102989116,6648288794,399565639,2,Phố Lê Thánh Tông,tertiary,False,True,29.079,tertiary,2,Phố Lê Thánh Tông,,,,,,,
102989116,6644534247,954856202,2,Phố Hai Bà Trưng,tertiary,False,False,21.565,tertiary,2,Phố Hai Bà Trưng,,,,,,,
102989116,6644534248,964674136,2,Phố Lê Thánh Tông,tertiary,False,False,20.52,tertiary,2,Phố Lê Thánh Tông,,,,,,,
102989711,8189781573,11550869,,Phố Hàng Chuối,residential,False,True,10.188,residential,,Phố Hàng Chuối,,,,,,,
102989711,6689572381,11550985,2,Phố Hàn Thuyên,tertiary,False,False,9.634,tertiary,2,Phố Hàn Thuyên,,,,,,,
102989711,6689572379,11550985,2,Phố Hàn Thuyên,tertiary,False,True,12.877,tertiary,2,Phố Hàn Thuyên,,,,,,,
102989711,6689572378,711525565,,Phố Phan Huy Chú,residential,False,False,10.621,residential,,Phố Phan Huy Chú,,,,,,,
102989712,6689701339,28103437,,Phố Phan Huy Chú,residential,False,False,14.629,residential,,Phố Phan Huy Chú,,,,,,,
102989712,6689701340,711525565,,Phố Phan Huy Chú,residential,False,True,19.001,residential,,Phố Phan Huy Chú,,,,,,,
102989712,6689701342,943964869,2,Phố Trần Hưng Đạo,secondary,False,False,12.252,secondary,2,Phố Trần Hưng Đạo,,,,,,,
102989712,6689701341,943964869,2,Phố Trần Hưng Đạo,secondary,False,True,12.662,secondary,2,Phố Trần Hưng Đạo,,,,,,,
102989719,9966134316,28103437,,Phố Phan Huy Chú,residential,False,False,9.75,residential,,Phố Phan Huy Chú,,,,,,,
102989719,8189781466,601595920,2,Phố Lý Thường Kiệt,tertiary,False,False,18.909,tertiary,2,Phố Lý Thường Kiệt,,,,,,,
102989719,6689625513,601595920,2,Phố Lý Thường Kiệt,tertiary,False,True,44.191,tertiary,2,Phố Lý Thường Kiệt,,,,,,,
102989719,8189781468,28103437,,Phố Phan Huy Chú,residential,False,True,19.139,residential,,Phố Phan Huy Chú,,"LINESTRING (105.857519 21.0212525, 105.8574401 21.0211115, 105.8574361 21.021099)",,,,,
102990398,4023430927,28103280,2,Phố Hàm Long,residential,False,True,305.077,residential,2,Phố Hàm Long,,"LINESTRING (105.8499702 21.0206242, 105.8500407 21.0205951, 105.8518375 21.019819, 105.8519368 21.0197634, 105.8520324 21.0197168, 105.8526233 21.0194452)",,,,,
103001099,6685594997,464097835,2,Phố Lò Đúc,tertiary,False,True,485.057,tertiary,2,Phố Lò Đúc,,"LINESTRING (105.8572754 21.0143557, 105.8572118 21.0144607, 105.856791 21.0151822, 105.8567269 21.0152951, 105.856645 21.0154395, 105.8565404 21.0156239, 105.8564742 21.0157404, 105.856416 21.015843, 105.8564066 21.0158596, 105.8563444 21.0159717, 105.8562876 21.0160716, 105.8561796 21.0162654, 105.8561017 21.0164053, 105.8559032 21.0167858, 105.8556754 21.0171929, 105.8556233 21.0172861, 105.855576 21.0173731, 105.8551039 21.0182179)",,,,,
271745504,102985443,28924658,,Phố Tông Đản,residential,False,False,416.13399999999996,residential,,Phố Tông Đản,,"LINESTRING (105.8569206 21.0290628, 105.856958 21.0289747, 105.8573207 21.0277783, 105.8573443 21.0276963, 105.8573671 21.0276107, 105.8575455 21.0270604, 105.8576498 21.0267295, 105.8576708 21.0266621, 105.8577944 21.0262592, 105.8578156 21.0261782, 105.857843 21.0260697, 105.8580356 21.0254689)",,,,,
308717223,6689675996,28103437,,Phố Phan Huy Chú,residential,False,True,13.38,residential,,Phố Phan Huy Chú,,,,,,,
308717223,6689625512,964674136,2,Phố Lê Thánh Tông,tertiary,False,False,91.706,tertiary,2,Phố Lê Thánh Tông,,,,,,,
308717223,6689625511,964674136,2,Phố Lê Thánh Tông,tertiary,False,True,4.61,tertiary,2,Phố Lê Thánh Tông,,,,,,,
308717227,8189781573,11550869,,Phố Hàng Chuối,residential,False,False,479.347,residential,,Phố Hàng Chuối,,"LINESTRING (105.8583968 21.0145685, 105.8583416 21.0146793, 105.8581469 21.0151325, 105.8575819 21.0164482, 105.8575245 21.0165817, 105.8574622 21.0167172, 105.8570824 21.0175433, 105.8569602 21.0178217, 105.856684 21.0185012, 105.8566737 21.0185655)",,,,,
309597639,6646826310,1223365201,3,Phố Ngô Quyền,tertiary,False,False,39.051,tertiary,3,Phố Ngô Quyền,,"LINESTRING (105.8553106 21.0253813, 105.855287 21.0253129, 105.8551917 21.0250481)",,,,,
309597640,10142026275,28869504,,Phố Nguyễn Xí,residential,False,False,52.574999999999996,residential,,Phố Nguyễn Xí,,"LINESTRING (105.8545573 21.0256553, 105.8545378 21.0255879, 105.8544242 21.0251991)",,,,,
309653586,10988320675,28191490,,Phố Cầu Đất,residential,False,True,5.576,residential,,Phố Cầu Đất,,,,,,,
309653586,10175009785,600157694,,Đường Hồng Hà,residential,False,False,124.241,residential,,Đường Hồng Hà,,,,,,,
309653586,320410406,702910581,,Đường Hồng Hà,residential,False,True,104.203,residential,,Đường Hồng Hà,,,,,,,
309653586,84799740,702910582,,Phố Cầu Đất,residential,False,False,24.767000000000003,residential,,Phố Cầu Đất,,"LINESTRING (105.8607704 21.024245, 105.8607522 21.0241183, 105.8607784 21.0240266)",,,,,
309653587,10118488798,38134265,4,Đường Trần Khánh Dư,primary,False,False,38.292,primary,4,Đường Trần Khánh Dư,,,,,,,
309653587,438042806,954856205,4,Đường Trần Khánh Dư,primary,False,True,101.034,primary,4,Đường Trần Khánh Dư,,,,,,,
309653587,10142638776,954812792,,,service,False,False,13.131,service,,,,"LINESTRING (105.8605226 21.023744, 105.8606095 21.0237239, 105.8606425 21.0237083)",no,,,,
